iter	F1	Logloss
0	0.0006426735219	0.6728023897
1	0.01149792399	0.6465575884
2	0.005129849311	0.6282248602
3	0.0006426735219	0.6089141961
4	0.0006426735219	0.5898051433
5	0	0.5742837345
6	0	0.5599813001
7	0	0.5456640568
8	0	0.5327465583
9	0	0.5202955249
10	0	0.5077882414
11	0	0.4959538648
12	0	0.4784940049
13	0	0.4682723786
14	0	0.4590123394
15	0	0.449524215
16	0	0.4380190134
17	0	0.4248421066
18	0	0.4160452594
19	0	0.4067272002
20	0	0.3998755994
21	0	0.393274209
22	0	0.3860829081
23	0	0.379759088
24	0	0.3706077296
25	0	0.3641572663
26	0	0.3587430539
27	0	0.3540822198
28	0	0.3498411053
29	0	0.341092429
30	0	0.3373274942
31	0	0.3337589293
32	0	0.3303587532
33	0	0.3255908566
34	0	0.3224736816
35	0	0.3195499202
36	0	0.3116448803
37	0	0.3049020939
38	0	0.3014819161
39	0	0.2992540126
40	0	0.2971286173
41	0	0.2943133471
42	0	0.2923833932
43	0	0.2904423376
44	0	0.2883917137
45	0	0.2853473721
46	0	0.2810783677
47	0	0.2796133025
48	0	0.2775681905
49	0	0.2762412005
50	0	0.2709994006
51	0	0.2668306454
52	0	0.2655188353
53	0	0.2643841874
54	0	0.2601978201
55	0	0.2580342205
56	0	0.2564258619
57	0	0.2522885996
58	0	0.2513605412
59	0	0.249987759
60	0	0.2485131233
61	0	0.2468107185
62	0	0.246077343
63	0	0.2453085914
64	0	0.2447602529
65	0	0.2415294501
66	0	0.2398677583
67	0	0.2392417614
68	0	0.2377147029
69	0	0.2373375449
70	0	0.2366427104
71	0	0.2361503172
72	0	0.2358222776
73	0	0.23550803
74	0	0.2348297117
75	0	0.2344253404
76	0	0.2326161267
77	0	0.2319055653
78	0	0.2306025132
79	0	0.2300949623
80	0.0006426735219	0.2288342499
81	0.001284934147	0.2276668111
82	0.002568218299	0.2258127459
83	0.002568218299	0.2256337731
84	0.002568218299	0.2254646547
85	0.002568218299	0.2252563119
86	0.002568218299	0.223882367
87	0.002568218299	0.2236363229
88	0.002568218299	0.2234966115
89	0.002568218299	0.2226908605
90	0.005129849311	0.2209905755
91	0.006408202499	0.2195304971
92	0.006408202499	0.2191598048
93	0.01784007646	0.2183245429
94	0.03101265823	0.2171187784
95	0.03225806452	0.2160380191
96	0.03225806452	0.2159567156
97	0.03474415666	0.2154971488
98	0.03536469845	0.2139515865
99	0.03722397476	0.2130826994
100	0.04091910607	0.2115401328
101	0.05621486571	0.2108953434
102	0.08842493092	0.2099345016
103	0.09951159951	0.2092013409
104	0.09951159951	0.2088792572
105	0.1024078025	0.2080247534
106	0.104718417	0.2063760246
107	0.1098300971	0.2050205572
108	0.1194930597	0.2033625355
109	0.1228915663	0.2023613536
110	0.1285285285	0.2016398483
111	0.1391460137	0.1999059966
112	0.1402566398	0.199409104
113	0.1463414634	0.1983368613
114	0.1457899435	0.1983232515
