iter	Passed	Remaining
0	254	1914015
1	461	1737175
2	556	1397750
3	619	1166967
4	767	1155313
5	898	1128088
6	1030	1108746
7	1198	1127394
8	1321	1105442
9	1463	1101281
10	1656	1132872
11	1731	1085419
12	1803	1043796
13	1917	1030348
14	1981	993383
15	2174	1022099
16	2258	998840
17	2475	1033852
18	2662	1053392
19	2852	1072030
20	2928	1048017
21	3125	1067484
22	3326	1086513
23	3500	1095542
24	3669	1102471
25	3851	1112529
26	4037	1122814
27	4163	1116439
28	4226	1094032
29	4417	1105219
30	4492	1087722
31	4572	1072210
32	4626	1051809
33	4832	1066194
34	4917	1053864
35	4973	1036062
36	5118	1037308
37	5255	1036964
38	5388	1035740
39	5437	1018964
40	5485	1002753
41	5628	1004302
42	5685	990782
43	5816	990318
44	5961	992415
45	6082	990338
46	6162	981861
47	6207	968426
48	6326	966610
49	6373	954198
50	6494	953169
51	6579	946935
52	6704	946614
53	6770	938078
54	6901	938779
55	7011	936538
56	7138	936678
57	7275	938020
58	7404	938417
59	7541	939674
60	7722	946285
61	7862	947821
62	7978	946351
63	8099	945627
64	8207	943361
65	8365	946820
66	8487	946145
67	8542	938182
68	8665	937768
69	8717	929776
70	8878	933513
71	8997	932787
72	9049	925133
73	9097	917378
74	9172	912488
75	9239	906903
76	9374	908148
77	9506	909004
78	9636	909640
79	9762	909827
80	9910	912156
81	10048	913419
82	10185	914577
83	10253	909660
84	10303	903200
85	10383	899491
86	10512	900084
87	10593	896556
88	10674	893216
89	10793	892991
90	10931	894360
91	11059	894852
92	11156	892844
93	11261	891601
94	11392	892367
95	11475	889326
96	11541	885117
97	11670	885782
98	11805	886823
99	11928	887021
100	12086	889742
101	12183	887955
102	12316	888835
103	12455	890101
104	12600	891758
105	12712	891045
106	12850	892200
107	12989	893395
108	13118	893864
109	13273	896064
110	13412	897187
111	13544	897810
112	13673	898244
113	13827	900274
114	13879	895643
115	14020	896819
116	14160	897948
117	14218	893809
118	14336	893530
119	14461	893733
120	14579	893441
121	14691	892788
122	14778	890686
123	14918	891744
124	14970	887552
125	15016	883102
126	15165	884709
127	15309	886025
128	15372	882645
129	15496	882803
130	15638	884019
131	15793	885859
132	15841	881771
133	15991	883363
134	16119	883697
135	16255	884499
136	16334	882165
137	16463	882573
138	16552	880838
139	16685	881473
140	16848	883627
141	17034	886993
142	17187	888574
143	17340	890146
144	17476	890840
145	17555	888602
146	17632	886309
147	17687	882948
148	17832	884076
149	17909	881855
150	18044	882487
151	18180	883198
152	18281	882165
153	18352	879740
154	18433	877801
155	18478	874170
156	18590	873731
157	18642	870549
158	18764	870583
159	18829	868023
160	18967	868843
161	19102	869516
162	19191	868081
163	19244	865065
164	19392	866332
165	19525	866879
166	19683	868566
167	19730	865327
168	19871	866219
169	20017	867364
170	20073	864572
171	20190	864438
172	20312	864496
173	20506	867626
174	20685	870083
175	20868	872702
176	21048	875105
177	21171	875149
178	21314	876037
179	21458	876916
180	21620	878537
181	21702	876927
182	21776	874976
183	21903	875205
184	22041	875827
185	22106	873551
186	22168	871213
187	22311	872063
188	22365	869420
189	22534	871243
190	22676	872026
191	22802	872192
192	22919	872007
193	23082	873563
194	23235	874741
195	23408	876610
196	23462	874069
197	23556	873010
198	23698	873735
199	23837	874363
200	23979	875065
201	24083	874386
202	24242	875713
203	24374	876039
204	24438	873947
205	24599	875301
206	24678	873745
207	24786	873263
208	24835	870684
209	24970	871123
210	25090	871049
211	25213	871055
212	25349	871522
213	25408	869343
214	25528	869282
215	25678	870207
216	25723	867611
217	25768	865024
218	25899	865323
219	26024	865436
220	26092	863652
221	26137	861121
222	26217	859754
223	26328	859442
224	26405	857987
225	26521	857831
226	26656	858295
227	26773	858160
228	26840	856423
229	26956	856285
230	27003	853950
231	27124	853969
232	27243	853905
233	27404	855155
234	27477	853669
235	27611	854079
236	27667	852095
237	27722	850073
238	27843	850107
239	27890	847856
240	28001	847596
241	28128	847818
242	28186	845941
243	28262	844644
244	28400	845167
245	28477	843919
246	28547	842449
247	28703	843513
248	28844	844146
249	29000	845201
250	29084	844138
251	29187	843654
252	29270	842605
253	29407	843079
254	29509	842575
255	29586	841357
256	29650	839790
257	29782	840147
258	29844	838520
259	30021	840137
260	30092	838778
261	30144	836920
262	30227	835900
263	30356	836195
264	30415	834523
265	30533	834509
266	30670	835008
267	30793	835090
268	30909	835027
269	31046	835500
270	31172	835679
271	31250	834573
272	31368	834540
273	31483	834416
274	31597	834280
275	31739	834878
276	31866	835089
277	31940	833906
278	32099	834925
279	32240	835485
280	32373	835825
281	32488	835709
282	32625	836163
283	32739	836000
284	32798	834470
285	32928	834729
286	33055	834922
287	33133	833859
288	33258	833996
289	33390	834304
290	33524	834668
291	33639	834541
292	33755	834442
293	33824	833196
294	33878	831583
295	33986	831291
296	34099	831126
297	34228	831365
298	34293	830035
299	34338	828245
300	34420	827349
301	34568	828033
302	34637	826850
303	34797	827816
304	34941	828390
305	34991	826757
306	35039	825094
307	35167	825292
308	35316	826001
309	35454	826438
310	35511	824981
311	35643	825294
312	35690	823620
313	35817	823803
314	35863	822130
315	35909	820474
316	35983	819454
317	36114	819723
318	36168	818266
319	36291	818365
320	36406	818289
321	36452	816674
322	36610	817549
323	36723	817441
324	36770	815860
325	36889	815861
326	37017	816079
327	37147	816331
328	37201	814938
329	37340	815374
330	37396	814029
331	37488	813454
332	37533	811882
333	37658	812028
334	37727	810962
335	37850	811074
336	37968	811080
337	38031	809913
338	38140	809733
339	38280	810201
340	38370	809608
341	38523	810346
342	38629	810097
343	38777	810712
344	38902	810871
345	38995	810330
346	39136	810820
347	39262	810979
348	39392	811220
349	39524	811487
350	39579	810198
351	39719	810629
352	39829	810461
353	39961	810753
354	40008	809298
355	40071	808174
356	40188	808154
357	40310	808233
358	40442	808506
359	40586	809026
360	40689	808718
361	40784	808250
362	40877	807743
363	40999	807829
364	41151	808480
365	41284	808763
366	41423	809174
367	41559	809514
368	41640	808771
369	41797	809524
370	41911	809422
371	42035	809513
372	42092	808336
373	42138	806948
374	42205	805953
375	42324	805970
376	42449	806086
377	42569	806108
378	42683	806023
379	42805	806103
380	42851	804731
381	42988	805082
382	43097	804903
383	43221	804999
384	43322	804673
385	43446	804770
386	43578	805022
387	43724	805523
388	43781	804382
389	43935	805033
390	44000	804042
391	44095	803624
392	44164	802717
393	44321	803419
394	44454	803665
395	44587	803928
396	44704	803893
397	44842	804236
398	44981	804601
399	45109	804759
400	45163	803601
401	45225	802590
402	45292	801658
403	45382	801152
404	45507	801277
405	45565	800206
406	45731	801038
407	45854	801105
408	45952	800737
409	46012	799725
410	46116	799462
411	46191	798710
412	46322	798916
413	46376	797807
414	46517	798188
415	46584	797312
416	46704	797341
417	46751	796121
418	46880	796289
419	47003	796375
420	47149	796838
421	47294	797285
422	47424	797472
423	47499	796738
424	47551	795613
425	47595	794368
426	47638	793119
427	47718	792481
428	47763	791272
429	47886	791355
430	48015	791536
431	48140	791650
432	48280	791997
433	48393	791916
434	48513	791943
435	48569	790918
436	48661	790496
437	48747	789975
438	48873	790103
439	49020	790568
440	49170	791074
441	49322	791622
442	49379	790624
443	49504	790731
444	49574	789954
445	49704	790140
446	49839	790410
447	49957	790392
448	50082	790504
449	50190	790326
450	50235	789179
451	50383	789632
452	50525	790011
453	50658	790227
454	50725	789419
455	50862	789700
456	51014	790218
457	51102	789745
458	51157	788758
459	51282	788851
460	51329	787755
461	51456	787886
462	51503	786786
463	51592	786341
464	51640	785269
465	51781	785605
466	51938	786190
467	52007	785442
468	52062	784483
469	52131	783752
470	52249	783740
471	52378	783905
472	52431	782921
473	52513	782378
474	52657	782766
475	52801	783154
476	52938	783423
477	52996	782523
478	53073	781923
479	53130	781018
480	53267	781299
481	53419	781791
482	53559	782096
483	53718	782693
484	53855	782958
485	54013	783527
486	54140	783641
487	54331	784684
488	54708	788411
489	54943	790068
490	55306	793553
491	55473	794220
492	55711	795891
493	55931	797305
494	56007	796661
495	56227	798067
496	56404	798855
497	56500	798496
498	56625	798547
499	56736	798391
500	56915	799202
501	57045	799323
502	57097	798336
503	57225	798438
504	57382	798925
505	57551	799580
506	57738	800483
507	57859	800465
508	58054	801466
509	58256	802566
510	58439	803404
511	58513	802729
512	58711	803766
513	58801	803315
514	59025	804694
515	59102	804073
516	59268	804650
517	59452	805484
518	59520	804736
519	59721	805774
520	59781	804933
521	60005	806274
522	60155	806641
523	60269	806503
524	60433	807041
525	60573	807263
526	60669	806892
527	60734	806116
528	60789	805201
529	60923	805335
530	60977	804417
531	61042	803656
532	61097	802745
533	61237	802966
534	61303	802217
535	61446	802477
536	61534	802005
537	61673	802213
538	61828	802618
539	61890	801820
540	62064	802478
541	62204	802692
542	62353	803014
543	62437	802505
544	62580	802757
545	62713	802873
546	62866	803247
547	62979	803103
548	63050	802432
