,USER_ID,date,call_duration,db_value_mean,db_value_max,db_value_min,lux_value_mean,lux_value_max,lux_value_min,msg_num,pic_num,sleep_duration,step_count,daily_score,weekly_score,label
0,23101802,20231012,773.0,,,,,,,,,,,,,0
1,23101802,20231013,84.0,,,,,,,,,220.0,,,,0
2,23101802,20231014,54.0,,,,,,,,1.0,370.0,,,,0
3,23101802,20231015,132.0,,,,,,,,5.0,400.0,,,,0
4,23101802,20231016,196.0,,,,,,,,2.0,410.0,,,,0
5,23101802,20231017,409.0,,,,,,,,2.0,450.0,,,,0
6,23101802,20231019,447.0,64.0,64.0,64.0,1273.0,1273.0,1273.0,,7.0,330.0,3269.0,,,0
7,23101802,20231020,364.0,62.666666666666664,83.0,52.0,393.0,613.0,6.0,,4.0,370.0,2722.0,8.0,,0
8,23102015,20231013,396.0,,,,,,,1.0,,,,,,0
9,23102015,20231016,73.0,,,,,,,3.0,14.0,,,,,0
10,23102015,20231018,22.0,,,,,,,,3.0,,,,,0
11,23102015,20231022,68.0,,,,12.5,14.0,11.0,,5.0,,,9.0,,0
12,23102201,20231015,17.0,,,,,,,,1.0,,,,,0
13,23102201,20231016,16.0,,,,,,,,3.0,,,,,0
14,23102201,20231017,17.0,,,,,,,,29.0,,,,,0
15,23102201,20231018,37.0,,,,,,,,1.0,,,,,0
16,23102201,20231019,113.0,,,,,,,,,,,,,0
17,23102201,20231020,229.0,,,,,,,,20.0,,,,,0
18,23102201,20231021,83.0,,,,,,,1.0,1.0,,,,,0
19,23102201,20231022,78.0,66.0,84.0,48.0,18.5,20.0,17.0,,2.0,,,9.0,17.0,0
20,imamy0627,20231010,0.0,,,,,,,3.0,24.0,,,,,0
21,imamy0627,20231011,0.0,,,,,,,1.0,3.0,,,,,0
22,imamy0627,20231013,116.0,,,,4.0,4.0,4.0,,4.0,,,,,0
23,imamy0627,20231016,255.0,,,,,,,,,,,,,0
24,imamy0627,20231017,309.0,,,,,,,1.0,,,,,,0
25,imamy0627,20231018,443.0,61.0,61.0,61.0,152.0,152.0,152.0,5.0,1.0,,,9.0,,0
26,imamy0627,20231019,327.0,37.666666666666664,40.0,33.0,139.0,196.0,110.0,8.0,2.0,,,10.0,17.0,0
27,imamy0627,20231020,933.0,,,,,,,6.0,5.0,,,,,0
28,imamy0627,20231021,62.0,59.0,61.0,57.0,202.5,405.0,0.0,10.0,,,,11.0,,0
29,jiun123,20231013,396.0,,,,,,,1.0,,,,,,0
30,jiun123,20231016,73.0,,,,,,,3.0,14.0,,,,,0
31,jiun123,20231018,22.0,,,,,,,,3.0,,,,,0
32,23101802,20231018,,50.333333333333336,60.0,41.0,37.666666666666664,39.0,36.0,,1.0,330.0,2708.0,8.0,10.0,0
33,23101802,20231021,,32.0,32.0,32.0,25.5,28.0,23.0,,,,3631.0,10.0,,0
34,23101802,20231022,,65.0,83.0,47.0,40.5,51.0,30.0,,,,5529.0,10.0,,0
35,23101902,20231019,,74.4,79.0,60.0,92.0,184.0,4.0,12.0,4.0,,4087.0,8.0,22.0,0
36,23101902,20231020,,83.0,83.0,83.0,57.0,57.0,57.0,6.0,,410.0,10030.0,8.0,,0
37,23101902,20231021,,73.0,73.0,73.0,1.0,1.0,1.0,10.0,,207.0,2446.0,8.0,,0
38,23101902,20231022,,87.0,87.0,87.0,69.0,69.0,69.0,1.0,,,1075.0,8.0,,0
39,23101903,20231019,,61.5,80.0,43.0,219.0,332.0,106.0,,,390.0,1736.0,8.0,21.0,0
40,23101903,20231020,,63.0,63.0,63.0,135.0,135.0,135.0,,4.0,410.0,4057.0,8.0,,0
41,23101903,20231021,,63.333333333333336,68.0,59.0,92.0,268.0,2.0,,2.0,290.0,7958.0,8.0,,0
42,23101903,20231022,,48.0,64.0,32.0,58.0,65.0,51.0,,1.0,600.0,273.0,10.0,,0
43,23101904,20231019,,58.5,64.0,51.0,374.25,584.0,6.0,2.0,4.0,895.0,6764.0,8.0,16.0,0
44,23101904,20231020,,59.0,59.0,59.0,12.0,12.0,12.0,1.0,3.0,,8485.0,13.0,,0
45,23101904,20231021,,67.0,67.0,67.0,0.0,0.0,0.0,,2.0,515.0,17484.0,8.0,,0
46,23101904,20231022,,53.0,53.0,53.0,89.0,89.0,89.0,,2.0,384.0,530.0,8.0,,0
47,23101905,20231019,,58.6,85.0,40.0,62.0,125.0,19.0,,2.0,700.0,81.0,8.0,13.0,0
48,23101905,20231021,,81.0,81.0,81.0,0.0,0.0,0.0,,1.0,518.0,,8.0,,0
49,23101905,20231022,,73.0,73.0,73.0,0.0,0.0,0.0,,1.0,639.0,,8.0,,0
50,23101906,20231022,,60.5,67.0,54.0,188.5,367.0,10.0,,,,,16.0,32.0,2
51,23101907,20231019,,67.33333333333333,83.0,39.0,146.33333333333334,218.0,94.0,,6.0,,3757.0,10.0,18.0,0
52,23101907,20231020,,55.5,66.0,45.0,1.5,2.0,1.0,,7.0,382.0,3379.0,,,0
53,23101907,20231021,,63.0,63.0,63.0,2.0,2.0,2.0,,10.0,1076.0,2510.0,,,0
54,23101907,20231022,,61.0,63.0,59.0,78.66666666666667,127.0,6.0,,6.0,412.0,5014.0,8.0,,0
55,23101910,20231019,,75.33333333333333,80.0,72.0,438.3333333333333,982.0,126.0,,1.0,490.0,,11.0,22.0,2
56,23101910,20231020,,42.5,52.0,33.0,88.0,125.0,68.0,,7.0,,4100.0,,,2
57,23101910,20231022,,48.0,48.0,48.0,78.0,78.0,78.0,,2.0,430.0,7411.0,,,2
58,23101910,20231023,,61.0,61.0,61.0,2.0,2.0,2.0,,,,43.0,,,2
59,23101911,20231019,,71.0,82.0,62.0,180.5,247.0,126.0,,,,,,12.0,2
60,23101912,20231019,,75.5,77.0,74.0,14862.5,20456.0,9269.0,,4.0,,,,17.0,1
61,23101912,20231020,,32.0,32.0,32.0,3.0,3.0,3.0,,7.0,,,,,1
62,23101912,20231021,,45.0,45.0,45.0,176.0,176.0,176.0,,,,,,,1
63,23101912,20231022,,32.5,33.0,32.0,159.0,163.0,155.0,,,,,,,1
